"from_table","from_column","to_table","to_column"
"analysis_attempt","requestId","meal_analysis_request","requestId"
"analysis_attempt","promptVersionId","prompt_version","promptVersionId"
"analysis_attempt","modelConfigId","model_configuration","modelConfigId"
"analysis_event","requestId","meal_analysis_request","requestId"
"analysis_event","attemptId","analysis_attempt","attemptId"
"prompt_version","promptId","prompt_template","promptId"
"provider_call","requestId","meal_analysis_request","requestId"
"provider_call","promptVersionId","prompt_version","promptVersionId"
"purchase_event","subscriptionId","subscription","subscriptionId"
"usage_ledger","requestId","meal_analysis_request","requestId"
"health_import_cursor","connectionId","health_connection","connectionId"
"sync_cursor","deviceId","device","deviceId"
"sync_operation","deviceId","device","deviceId"
"watch_delivery","deviceId","device","deviceId"
"watch_receipt","deviceId","device","deviceId"
"calendar_entry","calendarRevisionId","calendar_revision","calendarRevisionId"
"calendar_revision","operationId","sync_operation","operationId"
"deletion_job","deletionRequestId","deletion_request","deletionRequestId"
"export_artifact","exportJobId","export_job","exportJobId"
"user_session_metadata","deviceId","device","deviceId"
"notification_delivery","notificationId","notification","notificationId"
"notification_delivery","deviceId","device","deviceId"
"action_completion","recommendationId","daily_recommendation","recommendationId"
"daily_aggregate","targetRevisionId","target_revision","targetRevisionId"
"daily_summary","deviceId","device","deviceId"
"food_catalog_alias","nutritionSourceId","nutrition_source_cache","nutritionSourceId"
"meal_analysis_request","draftId","meal_draft","draftId"
"meal_draft","deviceId","device","deviceId"
"meal_draft","mediaId","meal_media","mediaId"
"meal_draft_revision","draftId","meal_draft","draftId"
"meal_item","mealId","meal","mealId"
"meal_item_revision","mealRevisionId","meal_revision","mealRevisionId"
"meal_media","draftId","meal_draft","draftId"
"meal_media","mealId","meal","mealId"
"meal_revision","mealId","meal","mealId"
"meal_tombstone","mealId","meal","mealId"
"recommendation_evidence","recommendationId","daily_recommendation","recommendationId"
"saved_meal_item","savedMealId","saved_meal","savedMealId"
"report_evidence","sectionId","report_section","sectionId"
"exercise_muscle_map","exerciseId","exercise_catalog","exerciseId"
"muscle_load","sessionId","workout_session","sessionId"
"workout_event","sessionId","workout_session","sessionId"
"workout_plan_revision","planId","workout_plan","planId"
"workout_plan_step","planRevisionId","workout_plan_revision","planRevisionId"
"workout_plan_step","exerciseId","exercise_catalog","exerciseId"
"workout_session","planRevisionId","workout_plan_revision","planRevisionId"
"workout_session_revision","sessionId","workout_session","sessionId"
"workout_summary","sessionId","workout_session","sessionId"
"meal","sourceDraftId","meal_draft","draftId"
"serving_prior_observation","sourceMealId","meal","mealId"
